Composition,doi,Phase,Density (g/cm3),Hardness (GPa),YS (MPa) at 23 C,YS (MPa) at 1000 C,YS (MPa) at 1200 C,Test Type
HfMo0.5NbSi0.5TiV0.5,10.1016/j.actamat.2019.06.032,BCC+M5Si3,8.16,,1787,614,188,
HfMo0.5NbSi0.7TiV0.5,10.1016/j.actamat.2019.06.032,BCC+M5Si3,7.89,,2134,673,235,
MoNbTiVZr,10.1016/j.actamat.2019.06.032,BCC+Laves,7.27,,1706,467,116,
NbRe0.3TiZr,10.1016/j.actamat.2019.06.032,BCC+Laves,7.81,,1244,323,89,
NbTaTiVZr,10.1016/j.actamat.2019.06.032,BCC+BCC,8.43,,1395,190,78,
Al1Co1Cr1Fe1Ni1Ti0.5,10.1038/s41597-020-00768-9,,,,2260,,,
Al0.667Co0.667Cr0.667Fe0.667Ni0.667Ti1,10.1038/s41597-020-00768-9,,,,2220,,,
Hf1Nb1Ta1Zr1,10.1038/s41597-020-00768-9,,,,2100,,,
Al0.333Nb0.667Ta0.533Ti1V0.133Zr0.667,10.1038/s41597-020-00768-9,,,,2035,,,
Al0.7Co0.3Cr1Fe1Ni1,10.1038/s41597-020-00768-9,,,,2033,,,
Al1Mo0.5Nb1Ta0.5Ti1Zr1,10.1038/s41597-020-00768-9,,,,2000,,,
Al0.214Nb0.714Ta0.714Ti1Zr0.929,10.1038/s41597-020-00768-9,,,,1965,,,
Al0.214Nb0.714Ta0.571Ti1V0.143Zr0.929,10.1038/s41597-020-00768-9,,,,1965,,,
Al0.125Co1Cr1Cu1Fe1Mn1Ni1Ti1V1,10.1038/s41597-020-00768-9,,,,1862,,,
Al1Co1Cr1Fe1Ni1Ti1,10.1038/s41597-020-00768-9,,,,1860,,,
