Composition,doi,Phase,Density (g/cm3),Hardness (GPa),YS (MPa) at 23 C,YS (MPa) at 1000 C,YS (MPa) at 1200 C,Test Type,A,Ag,Al,Au,B,Be,C,Ca,Co,Cr,Cu,D,E,Fe,Ga,Gd,Hf,I,Ir,Li,M,Mg,Mn,Mo,N,Nb,Ni,O,P,Pb,Pd,Pt,Q,Re,Rh,S,Si,Sn,Sr,T,Ta,Ti,V,Vi,W,Y,Yb,Zn,Zr,Density_g_cc_ROM,VEC,Pugh_Ratio,Cauchy_Pressure,YS_1300C_MPa,Solidus_K_TC,Liquidus_K_TC,Solidus_C_TC,Liquidus_C_TC,THCD_25C_W_mK
Al0.3NbTa0.8Ti1. 4V0.2Zr1.5,10.1016/j.actamat.2016.08.081,BCC,7.78,,,166.0,,,0.0,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20833333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666669,0.20833333333333334,0.04166666666666667,0.0,0.0,0.0,0.0,0.0,0.3125,7.966666666666667,4.354166666666667,3.0046360686138156,85.97708333333334,62.19235334423068,,,,,
Al0.5NbTa0.8Ti1.5V0.2Zr,10.1016/j.actamat.2016.08.081,BCC+BCC,7.42,,,220.0,,,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.3,0.04,0.0,0.0,0.0,0.0,0.0,0.2,7.554600000000001,4.3,2.960474308300396,85.53600000000002,37.85846409051412,,,,,
Al0.3NbTaTi1.4Zr1.5,10.1016/j.actamat.2016.08.081,BCC+BCC,8.18,,,236.0,,,0.0,0.0,0.05769230769230768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1923076923076923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1923076923076923,0.2692307692307692,0.0,0.0,0.0,0.0,0.0,0.0,0.28846153846153844,8.107384615384614,4.326923076923077,2.9289000418235047,83.9326923076923,36.161965944729495,,,,,
AlNb1.5Ta0.5Ti1.5Zr0.7,10.1016/j.actamat.2016.08.081,BCC,6.88,,,403.0,,,0.0,0.0,0.19230769230769232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2884615384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09615384615384616,0.2884615384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.13461538461538464,6.773653846153847,4.1923076923076925,3.0787401574803157,84.72500000000002,9.853412057241846,,,,,
AlNbTiV,10.1016/j.actamat.2016.08.081,BCC,5.59,,,158.0,,,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,5.4715,4.25,3.2380952380952372,93.70000000000002,18.371287910295425,,,,,
CrMo0.5NbTa0.5TiZr,10.1016/j.actamat.2016.08.081,BCC+BCC+Laves,8.23,,,546.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,8.0462,4.9,2.429097605893187,74.17,650.4940522449657,,,,,
CrNbTiVZr,10.1016/j.actamat.2016.08.081,BCC+Laves,6.52,,,615.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.2,6.571200000000001,4.8,2.5736434108527133,83.56,468.9070510438303,,,,,
CrNbTiZr,10.1016/j.actamat.2016.08.081,BCC+Laves,6.7,,,115.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.25,6.6865,4.75,2.4063926940639266,72.65,409.5077963064679,,,,,
HfMoNbTiZr,10.1016/j.actamat.2016.08.081,BCC,8.69,,,635.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,8.6372,4.6,2.9561403508771944,79.30000000000001,250.58277303109804,,,,,
HfNbTaTiZr,10.1016/j.actamat.2016.08.081,BCC,9.94,,,295.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,9.9192,4.3999999999999995,3.091324200913243,85.12,33.26293412751387,,,,,
MoNbTaVW,10.1016/j.actamat.2016.08.081,BCC,12.36,,,842.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,12.18,5.4,2.7916666666666674,95.15999999999998,518.418146785449,,,,,
